Article,What does it conceptualize?,Usual modeling characteristics,Is it a statistically validated measure?,Scale Name,Parent Scale,Sub Scale,Scale / Item,Text of the item,"Is it reverse coded 
or transformed?",Does this item potentially contain identifying information?,Type of scale,Scoring,Type of data,Time Stem,Top-level question,Anchors/answers or mapping/representation (numeric),Anchors/answers or mapping/representation (nominal),Delivery mechanism,How frequently is it delivered?,Citation,Notes,
,,,,,,,,,,,,,,,,,,,,,,
Daily meaningfulness among patients with opioid use disorder: Examining the role of social experiences during residential treatment and links with post-treatment relapse,,,,Positive Social experiences,NA,NA,Scale,,,,,,,,,,,online,3x a day,"Knapp, K. S., Brick, T. R., Bunce, S. C., Deneke, E., & Cleveland, H. H. (2021). Daily meaningfulness among patients with opioid use disorder: Examining the role of social experiences during residential treatment and links with post-treatment relapse. Addictive behaviors, 119, 106914. https://doi.org/10.1016/j.addbeh.2021.106914 ","questions based on study from: H.H. Cleveland, K.S. Harris, R.P. Wiebe
Substance abuse recovery in college: Community supported abstinence
Springer Science & Business Media (2010)",
Daily meaningfulness among patients with opioid use disorder: Examining the role of social experiences during residential treatment and links with post-treatment relapse,,,,,,,Item,compliment you.,NA,0,unknown,multilevel models,nominal,Since last data entry __,__ did someone __,unknown,unknown,,,,,
Daily meaningfulness among patients with opioid use disorder: Examining the role of social experiences during residential treatment and links with post-treatment relapse,,,,,,,Item,show you that they cared about you.,NA,0,unknown,multilevel models,nominal,Since last data entry __,__ did someone __,unknown,unknown,,,,,
Daily meaningfulness among patients with opioid use disorder: Examining the role of social experiences during residential treatment and links with post-treatment relapse,,,,,,,Item,let you know they understand your stress.,NA,0,unknown,multilevel models,nominal,Since last data entry __,__ did someone __,unknown,unknown,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Meaning in Life Questionnaire,NA,"Presence of meaning, search for meaning",Scale,,,,,,,,,,,online survey,2 questionnaires 22 days apart and daily logs,"Steger, M. F., Kashdan, T. B., & Oishi, S. (2008). Being good by doing good: Daily eudaimonic activity and well-being. Journal of research in personality, 42(1), 22-42. ",,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Presence of meaning,Meaning in Life Questionnaire,NA,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Search for meaning,Meaning in Life Questionnaire,NA,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I understand my life's meaning.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I am looking for something that makes my life feel meaningful.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I am always looking to find my life's purpose.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,My life has a clear sense of purpose.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I have a good sense of what makes my life meaningful.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I have discovered a satisfying life purpose.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I am always searching for something that makes my life feel significant.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I am seeking a purpose or mission for my life.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,My life has no clear purpose.,1,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I am searching for meaning in my life.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,"global life satisfaction, a person's cognitive reflective evaluation of their life as a whole.",NA,1,The Satisfaction with Life Scale,NA,NA,Scale,,,,,,,,,,,online survey,2 questionnaires 22 days apart and daily logs,"Diener, E., Emmons, R. A., Larsen, R. J., & Griffin, S. (1985). The Satisfaction With Life Scale. Journal of Personality Assessment, 49(1), 71–75. https://doi.org/10.1207/s15327752jpa4901_13",,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,In most ways my lige is close to my ideal.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,The conditions of my life are excellent.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,I am satisfied with my life.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,So far I have gotten the important things I want in life.,0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,"If I could live my life over, I would change almost nothing.",0,0,multiple choice,factor analysis,nominal,NA,NA,1-7.,"1 = absolutely untrue, 2 = mostly untrue, 3 = somewhat untrue, 4 = can't say true or false, 5 = somewhat true, 6 = mostly true, 7 = absolutely true",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Positive and Negative Affect Schedule (PANAS),NA,"positive affect, negative affect",Scale,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Positive Affect,Positive and Negative Affect Schedule (PANAS),NA,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,to be a measure of positive and negative affect,NA,1,Negative Affect,Positive and Negative Affect Schedule (PANAS),NA,,,,,,,,,,,,online survey,2 questionnaires 22 days apart and daily logs,"Feldman, L. A. (1995). Valence focus and arousal focus: Individual differences in the structure of affective experience. Journal of Personality and Social Psychology: Personality Processes and Individual Differences, 69(1), 153-166. doi:https://doi.org/10.1037/0022-3514.69.1.153",,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Interested.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Distressed.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Excited.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Upset.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Strong.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Guilty.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Scared.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Hostile.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Enthustiastic.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Proud.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Irritable.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Alert.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Ashamed.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Inspired.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Nervous.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Determined.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Attentive.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Jittery.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Active.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,Indicate the extent you have felt this way over the past week: Afraid.,NA,0,multiple choice,factor analysis,ordinal,Over the past week,Indicate to what extent you,1-5.,"very slightly or not at all, a little, moderately, quite a bit, extremely",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,frequency of specific eudamonic and hedonic behaviors,NA,0,Daily Behaviors,NA,"Eudaimonic behaviors, Hedonic behaviors, Modified hedonic behaviors",Scale,,,,,,,,,,,online survey,2 questionnaires 22 days apart and daily logs,"Steger, M. F., Kashdan, T. B., & Oishi, S. (2008). Being good by doing good: Daily eudaimonic activity and well-being. Journal of research in personality, 42(1), 22-42. ",,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Eudaimonic Behaviors,Daily Behaviors,NA,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Hedonic Behaviors,Daily Behaviors,NA,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,Modified Hedonic Behaviors,Daily Behaviors,NA,,,,,,,,,,,,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you volunteer your time this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you give money to a person in need this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you write out your goals for the future this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you express your gratitude for something someone did for you either verbally or in writing this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you listen carefully to another's point of view this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you confide in another person about something very important to you this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you perservere at a valued goal even in the face of obstacles this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you have sex purely to get pleasure this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you buy a new piece of jewelry or electronic equipment just for yourself this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you get drunk this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you get high on drugs this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you keep eating more than you intended of something just because it tasted so good this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you masturbate this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you go to a big party this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you go for a long walk this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you watch a movie that was pure entertainment this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you attend a sporting event or concert this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you relax by watching television or playing video games this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
Being good by doing good: Daily eudaimonic activity and well-being,,,,NA,,,Item,How many times did you spend time listening to music this week?,NA,0,number select,factor analysis,ordinal,past week,how many times did you __,any number,NA,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,The financial demographics of the research participants and their families.,NA,0,Material Possessions Index,NA,NA,Scale,,,,,,,,,,,survey and focus groups,once,"Rao, M.A., Berry, R., Gonsalves, A., Hastak, Y., Shah, M. and Roeser, R.W. (2013), Globalization and the Identity Remix Among Urban Adolescents in India. J Res Adolesc, 23: 9-24. https://doi.org/10.1111/jora.12002",,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,,,,Item,Do you receive pocket money?,NA,0,multiple choice,regression analysis,nominal,NA,NA,NA,yes/no,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,,,,Item,Do you have a cell phone?,NA,0,multiple choice,regression analysis,nominal,NA,NA,NA,yes/no,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,,,,Item,Do you have a motor scooter?,NA,0,multiple choice,regression analysis,nominal,NA,NA,NA,yes/no,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,,,,Item,Have you shopped at the new megastores?,NA,0,multiple choice,regression analysis,nominal,NA,NA,NA,yes/no,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,The self-construal scale measures how poeple define themselves in relation to others,NA,1,Interdependent and Independent self-construal scale,NA,"Independent Self-Construal, Interdependent Self-Construal",Scale,,,,,,,,,,,survey and focus groups,once,"Singelis, T. M. (1994). The Measurement of Independent and Interdependent Self-Construals. Personality and Social Psychology Bulletin, 20(5), 580-591. https://doi.org/10.1177/0146167294205014 (Original work published 1994)",,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,Independent Self-Construal,Interdependent and Independent self-construal scale,NA,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,Interdependent Self-Construal,Interdependent and Independent self-construal scale,NA,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I have respect for the authority figures with whom I interact.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,It is important for me to maintain harmony within my group.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,My happiness depends on the happiness of those around me.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I would offer my seat in a bus to my professor.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I respect people who are modest about themselves.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I will sacrifice my self-interest for the benefit of the group I am in.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I often have the feeling that my relationships with others are more important than my own accomplishments.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I should take into consideration my parents' advice when making education/career plans.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,It is important to me to respect decisions made by the group.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,"I will stay in a group if they need me, even when I'm not happy with the group.",NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,"If my brother or sister fails, I feel responsible.",NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,"Even when I strongly disagree with group members, I avoid an argument.",NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,"I'd rather say ""no"" directly, than risk being misunderstood.",NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,Speaking up during a class is not a problem for me.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,Having a lively imagination is important to me.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I am comfortable with being singled out for praise or rewards.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I am the same person at home that I am at school.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,Being able to take care of myself is a primary concern for me.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I act the same way no matter who I am with.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,"I feel comfortable using someone's first name soon after I meet them, even when they are much older than I am.",NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I prefer to be direct and forthright when dealing with people I've just met.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I enjoy being unique and different from others in many respects.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,"My personal identity indepedent of others, is very important to me.",NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I value being in good health above everything.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-7.,"1. = strongly disagree, 7 = strongly agree",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,The views chidlren and adolescents have towards money.,NA,1,Attitudes Towards Money,NA,"Frugality. Materialism, Generosity",Scale,,,,,,,,,,,survey and focus groups,once,"Kasser, T. (2005). Frugality, generosity, and materialism in children and adolescents. In What do children need to flourish? Conceptualizing and measuring indicators of positive development (pp. 357-373). Boston, MA: Springer US.",,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,Frugality,Attitudes Towards Money,NA,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,Materialism,Attitudes Towards Money,NA,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,Generosity,Attitudes Towards Money,NA,,,,,,,,,,,,,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I believe in being careful in how I spend my money.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-5.,"1. = never or almost never, 5 = always or almost always",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I control myself to make sure that I get the most from my money.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-5.,"1. = never or almost never, 5 = always or almost always",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I am willing to wait on a purchase I want so that I can save money.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-5.,"1. = never or almost never, 5 = always or almost always",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,There are things I resist buying today so I can save for tomorrow.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-5.,"1. = never or almost never, 5 = always or almost always",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,I like to own things that impress other people.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-5.,"1. = never or almost never, 5 = always or almost always",,,,,
Globalization and the Identity Remix Among Urban Adolescents in India,,,,NA,,,Item,My life would be better if I owned things I don't have right now.,NA,0,multiple choice,regression analysis,ordinal,NA,NA,1-5.,"1. = never or almost never, 5 = always or almost always",,,,,
